epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
52,6254.7,1.4732,0.84962,0.00894,0.92908,0.83422,0.90842,0.81904,0.56193,0.45505,0.01123,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,6369.44,1.47341,0.85365,0.00888,0.9121,0.85622,0.90846,0.81932,0.54271,0.46932,0.01091,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,6481.97,1.46109,0.8492,0.00884,0.92884,0.84286,0.90713,0.82021,0.54635,0.4683,0.01089,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,6600.71,1.45221,0.83853,0.00887,0.92378,0.83697,0.90877,0.821,0.54969,0.46564,0.01093,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,6724.74,1.45784,0.84268,0.00863,0.93598,0.82607,0.90978,0.82087,0.55746,0.45594,0.01113,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,6841.95,1.46126,0.83899,0.00868,0.91832,0.84126,0.90897,0.82069,0.55308,0.45984,0.01108,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,6956.81,1.45551,0.84609,0.00875,0.91469,0.83946,0.90754,0.8233,0.55143,0.46542,0.01119,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,7071.3,1.448,0.82654,0.00863,0.9311,0.83623,0.91078,0.82417,0.54553,0.46458,0.01095,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,7186.2,1.44167,0.83392,0.00862,0.92931,0.83049,0.91064,0.82634,0.53307,0.47187,0.01061,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,7301.29,1.43882,0.82808,0.00855,0.91731,0.84753,0.90819,0.82452,0.53291,0.49254,0.01054,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,7414.66,1.43739,0.82111,0.00864,0.91895,0.84574,0.91003,0.82647,0.53036,0.48219,0.0105,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,7527.46,1.44087,0.81951,0.00851,0.92339,0.84313,0.91014,0.82708,0.53463,0.47318,0.01064,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
