epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
62,17554.7,1.3779,0.78256,0.00883,0.95254,0.82511,0.91414,0.83285,0.49931,0.41749,0.01063,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,17834.6,1.37529,0.77594,0.00881,0.94121,0.83857,0.9161,0.83471,0.49631,0.41938,0.01058,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,18115.8,1.37098,0.77976,0.00865,0.94706,0.83432,0.91847,0.83651,0.5,0.41719,0.01059,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,18396.4,1.36395,0.76577,0.00861,0.95941,0.83049,0.92095,0.83791,0.50273,0.39906,0.01071,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,18676.3,1.37075,0.76324,0.00871,0.94655,0.83857,0.91982,0.83876,0.50521,0.40159,0.01075,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,18955.5,1.35892,0.75538,0.00864,0.94994,0.83677,0.91848,0.83815,0.50825,0.40551,0.0108,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,19235.8,1.35482,0.76363,0.00862,0.96012,0.83229,0.91738,0.83905,0.5082,0.4103,0.01081,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,19517.3,1.3493,0.74982,0.00858,0.95752,0.83049,0.91817,0.83774,0.511,0.40311,0.01085,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,19796.1,1.34474,0.75623,0.00848,0.96057,0.83018,0.91834,0.83855,0.51051,0.3951,0.01092,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,20074.9,1.35447,0.75559,0.00843,0.95282,0.8332,0.91758,0.83797,0.50445,0.412,0.01077,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,20356,1.34484,0.73919,0.00845,0.94747,0.8412,0.91886,0.83882,0.50821,0.40079,0.01082,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,20635,1.34101,0.74127,0.00839,0.95855,0.82957,0.92022,0.83963,0.50066,0.41374,0.01058,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,20916.8,1.32505,0.73526,0.00832,0.95308,0.83946,0.92007,0.84089,0.49951,0.41052,0.01052,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,21193.3,1.33005,0.72858,0.00831,0.9571,0.84126,0.92016,0.84138,0.49939,0.40989,0.01046,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,21459.1,1.32853,0.72968,0.00833,0.95707,0.83966,0.91961,0.84104,0.49701,0.41034,0.01037,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,21737.3,1.32487,0.72701,0.0083,0.95679,0.84395,0.91869,0.83977,0.5015,0.41377,0.01044,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,22016.8,1.32485,0.72664,0.0083,0.95216,0.84574,0.91962,0.83967,0.50301,0.41315,0.0105,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,22294.9,1.31721,0.72719,0.00825,0.95304,0.84215,0.91874,0.84002,0.50157,0.42478,0.01046,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,22574.1,1.31237,0.71936,0.00818,0.95159,0.84484,0.91931,0.84197,0.50235,0.42127,0.01047,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,22855.5,1.30768,0.72184,0.00811,0.95003,0.84215,0.91938,0.8421,0.49965,0.42496,0.01044,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,23138.4,1.30674,0.7095,0.00806,0.95274,0.83587,0.91842,0.83991,0.49807,0.43709,0.01033,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,23418,1.30436,0.70487,0.00805,0.9571,0.84032,0.91882,0.84002,0.49948,0.4271,0.0104,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,23694.8,1.30849,0.70801,0.00805,0.95322,0.84057,0.91785,0.83989,0.49497,0.43538,0.01028,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,23976.5,1.29469,0.70501,0.00792,0.96033,0.83587,0.91945,0.84003,0.49599,0.43587,0.01031,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,24255.9,1.29828,0.71177,0.00788,0.94912,0.83655,0.91873,0.83966,0.49906,0.44004,0.01034,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,24535.9,1.29108,0.70437,0.00797,0.94578,0.84395,0.91823,0.8397,0.4994,0.43832,0.01033,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,24817.4,1.29099,0.70147,0.0079,0.94663,0.84316,0.91776,0.84029,0.49741,0.42813,0.01028,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,25097.3,1.2921,0.69603,0.00785,0.9403,0.84484,0.91662,0.83874,0.49686,0.43391,0.0103,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,25377.4,1.2817,0.69625,0.00788,0.94501,0.84484,0.91653,0.83949,0.49568,0.43564,0.01028,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,25670.3,1.29817,0.6338,0.00876,0.9468,0.84596,0.91704,0.84085,0.49669,0.42595,0.01031,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,25950.4,1.29379,0.62942,0.00863,0.944,0.84305,0.91484,0.84013,0.49521,0.42748,0.01029,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,26228.3,1.28269,0.62491,0.00851,0.94697,0.84574,0.91687,0.84082,0.49517,0.42776,0.01026,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,26509.4,1.28026,0.62345,0.00851,0.9397,0.84753,0.91632,0.84133,0.49626,0.43031,0.01028,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,26791.4,1.2739,0.61775,0.00842,0.95817,0.83408,0.9171,0.84229,0.49693,0.42973,0.01029,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,27070.8,1.27221,0.61391,0.0085,0.95687,0.83587,0.91685,0.84202,0.49602,0.43365,0.01025,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,27348,1.27398,0.61314,0.00838,0.93573,0.84881,0.91599,0.84179,0.49627,0.43784,0.01023,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,27624.5,1.26337,0.61587,0.00834,0.93836,0.85022,0.91581,0.84233,0.49593,0.43797,0.01022,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,27905.4,1.25719,0.61264,0.00828,0.95773,0.83677,0.91529,0.84192,0.49586,0.44237,0.01022,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,28185.9,1.25198,0.60107,0.00825,0.95784,0.83677,0.91519,0.84189,0.49657,0.44182,0.0102,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
